,ID,Lat,Long,ListPrice,SaleYear,Bathroom,Bedroom,BuiltYear,BuildDecade,MajorRenov,FinishSqFt,LotSqFt,MSA,City,HighSchool,SalePrice
0,61960407,41.867103,-87.774551,178892.3927,2009,1,2,1926,1920,NONE,1200,5597,Chicago,Oak Park,Oak Park & River Forest High School,172769.450307
1,3345585,42.107464,-87.778617,478511,2014,2,3,1957,1950,NONE,1578,9454,Chicago,Northfield,New Trier Township H S Winnetka,456863.627994
2,3483598,42.044651,-87.888992,89900,2013,1,1,NA,UNKNOWN,NONE,925,5248.5,Chicago,Des Plaines,Maine West High School,86217.2812636
3,3583003,41.97145,-87.831476,424900,2014,3,7,1951,1950,NONE,3456,13068,Chicago,Norridge,Ridgewood Community High School,400521.766299
4,3590178,41.963699,-87.832438,219900,2013,1,3,1953,1950,NONE,1017,5140,Chicago,Norridge,Ridgewood Community High School,212747.760143
5,3732803,41.917143,-87.681381,725000,2013,3,4,1920,1920,NONE,2600,2400,Chicago,Chicago,Clemente Community Academy High School,679524.85284
6,3817235,41.866764,-87.794735,299900,2013,1.5,3,NA,UNKNOWN,NONE,1550,8109,Chicago,Oak Park,Oak Park & River Forest High School,287141.228357
7,4191571,41.587432,-87.884208,35000,2014,2,3,1958,1950,NONE,1336,8103,Chicago,Orland Park,Carl Sandburg High School,81002.3829813
8,4441843,41.867514,-88.081011,309900,2013,3,4,NA,UNKNOWN,NONE,2550.5,15472.04295,Chicago,Glen Ellyn,Glenbard West High School,291699.716287
9,4476860,41.88526,-87.941695,354900,2013,2,3,1952,1950,NONE,1748,8276,Chicago,Elmhurst,York Community High School,347634.390473
10,4537778,41.767673,-88.136432,335000,2014,3,4,NA,UNKNOWN,NONE,2789,13068,Chicago,Naperville,Naperville Central High School,321060.621504
11,58365531,41.894199,-87.685646,329900,2013,2,2,1930,1930,NONE,1500,6316,Chicago,Chicago,Wells Community Academy High School,322072.958395
12,62008131,41.933139,-87.70343,270000,2013,2,2,2013,2010,2002,1400,5793,Chicago,Chicago,Schurz High School,273250.242315
13,59685814,41.586641,-88.197084,29900,2013,2.5,4,NA,UNKNOWN,NONE,1815.5,7452.5,Chicago,Plainfield,Plainfield High School,91614.1463766
14,62008391,41.914652,-87.692374,525000,2013,3,4,2005,2000,NONE,2800,11107,Chicago,Chicago,Clemente Community Academy High School,506379.679862
15,60269015,41.887077,-87.642372,289500,2013,1,1,2000,2000,NONE,900,6119.5,Chicago,Chicago,Crane Technical Prep High School,287643.857532
16,63704113,41.859527,-87.646385,250000,2013,2,2,2001,2000,NONE,1395.5,8232,Chicago,Chicago,Juarez Community Academy High School,244984.7653
17,63696115,41.912831,-87.686342,699900,2013,4,4,2002,2000,NONE,3120,11589,Chicago,Chicago,Clemente Community Academy High School,679803.459052
18,65558411,41.923141,-87.711845,254900,2013,2,2,NA,UNKNOWN,NONE,1300,8388,Chicago,Chicago,Clemente Community Academy High School,252318.124242
19,65564918,41.903854,-87.678695,469900,2013,3,3,2003,2000,NONE,2200,7622.5,Chicago,Chicago,Clemente Community Academy High School,462246.669307
20,70447713,41.915473,-87.80632,105000,2011,2,2,2003,2000,NONE,1302.5,6795,Chicago,Elmwood Park,NONE,101995.010077
21,80808684,41.880634,-87.651451,289900,2011,2,2,2006,2000,NONE,1480.5,8189,Chicago,Chicago,Crane Technical Prep High School,286101.023323
22,89178377,41.974527,-87.972892,42250,2014,2,3,NA,UNKNOWN,NONE,2099,14374,Chicago,Wood Dale,Fenton High School,98493.5238095
23,87701479,41.907352,-87.681716,425000,2013,2,2,2006,2000,NONE,1301.5,5161.5,Chicago,Chicago,Clemente Community Academy High School,415107.056316
24,89889016,41.910486,-87.683632,469000,2010,2,3,2007,2000,NONE,1600,7167,Chicago,Chicago,Clemente Community Academy High School,447356.44839
25,89908088,41.910486,-87.683632,532500,2013,2,3,2006,2000,NONE,1654,8388,Chicago,Chicago,Clemente Community Academy High School,519610.244114
26,3310778,42.093799,-87.900961,291200,2014,2,0,1967,1960,NONE,1812,9147,Chicago,Mount Prospect,John Hersey High School,278672.907327
27,4056229,41.731232,-87.730255,90015.91734,2014,1,1,1952,1950,NONE,744,476.06286,Chicago,Hometown,Oak Lawn Community High School,76665.5680828
28,70457280,41.92603,-87.832339,236886.2787,2014,2.5,4,2005,2000,NONE,1452,3920,Chicago,River Grove,NONE,225322.671129
29,3242750,42.146866,-88.130663,454000,2013,4,3,1976,1970,NONE,2450,6098,Chicago,Barrington,Barrington High School,439515.839287
30,3243300,42.151582,-88.152751,747230.4,2014,5,5,1968,1960,NONE,4005.61455,6437.5,Chicago,Barrington Hills,Barrington High School,678692.06
31,3244186,42.134803,-88.128673,410000,2014,3.5,2,1992,1990,NONE,1615,6729.5,Chicago,Barrington,Barrington High School,381394.814935
32,3242373,42.147205,-88.137347,399000,2013,2,4,1956,1950,NONE,1730,11325,Chicago,Barrington,Barrington High School,375486.283616
33,3244270,42.127997,-88.13131,747230.4,2008,4,4,1996,1990,NONE,4005.61455,15472.04295,Chicago,Inverness,Barrington High School,675980.988
34,3244761,42.104041,-88.17255,747230.4,2014,3.5,4,1991,1990,NONE,2940,15472.04295,Chicago,South Barrington,Barrington High School,663810.581117
35,3245629,42.094583,-88.128152,324900,2014,2.5,4,1976,1970,NONE,2628,9933.5,Chicago,Hoffman Estates,Barrington High School,311760.605004
36,3244342,42.118286,-88.122847,568000,2013,4,4,1979,1970,2003,3169,15472.04295,Chicago,Inverness,Barrington High School,555267.08847
37,3242718,42.149553,-88.129187,299000,2014,1,3,1921,1920,NONE,816,7501,Chicago,Barrington,Barrington High School,286284.49
38,3248466,42.150893,-88.007541,249000,2014,2,3,1987,1980,NONE,1063,8855,Chicago,Arlington Heights,Palatine High School,237691.085511
39,3247121,42.151657,-88.017463,115000,2013,1,2,1984,1980,NONE,1150,5608,Chicago,Palatine,Palatine High School,108756.050318
40,3246853,42.152423,-88.019691,113900,2013,1,2,1983,1980,NONE,1036,5531.5,Chicago,Palatine,Palatine High School,107442.64812
41,3247692,42.148209,-88.01667,199000,2014,3,3,1987,1980,NONE,2450,7361,Chicago,Palatine,Palatine High School,194721.706186
42,3244289,42.117857,-88.139126,747230.4,2014,4,5,1989,1980,NONE,4005.61455,14243.5,Chicago,Inverness,Barrington High School,680395.503111
43,3246965,42.152423,-88.019691,99500,2014,1,2,1983,1980,NONE,966.5,6155.5,Chicago,Palatine,Palatine High School,95259.2233521
44,3252735,42.130819,-88.081644,499900,2014,3,4,1989,1980,NONE,3205,9243,Chicago,Palatine,Palatine High School,487918.196691
45,3254535,42.13649,-88.030876,229900,2014,2.5,3,1996,1990,NONE,2015.5,7535,Chicago,Palatine,Palatine High School,219790.937254
46,3251498,42.135583,-88.113835,747230.4,2009,4,4,1986,1980,2002,4005.61455,15472.04295,Chicago,Inverness,Barrington High School,673939.916
47,3250586,42.149854,-88.054713,454900,2013,3,4,1973,1970,NONE,2802,15472.04295,Chicago,Palatine,Palatine High School,440391.97768
48,3255445,42.131697,-88.032603,264000,2013,3,3,1979,1970,NONE,1432,8775,Chicago,Palatine,Palatine High School,252760.934965
49,3258787,42.118219,-88.041813,285000,2014,2.5,3,1962,1960,NONE,1325,6751.5,Chicago,Palatine,Palatine High School,276667.050406
50,3261705,42.118311,-88.10031,355000,2014,3,4,1963,1960,NONE,2611.5,9867.5,Chicago,Inverness,Wm Fremd High School,344451.627925
51,3251784,42.132526,-88.084863,350000,2014,2,3,1989,1980,NONE,1908,9147,Chicago,Palatine,Palatine High School,336185.845393
